Node,Commodity,Day,Month,Year,Timestep,Value
Farmoor,water,63.0,3,2020.0,63,13822.0
London Storages,water,63.0,3,2020.0,63,202828.0
Farmoor,water,64.0,3,2020.0,64,13822.0
London Storages,water,64.0,3,2020.0,64,202828.0
Farmoor,water,65.0,3,2020.0,65,13822.0
London Storages,water,65.0,3,2020.0,65,202828.0
Farmoor,water,66.0,3,2020.0,66,13822.0
London Storages,water,66.0,3,2020.0,66,202828.0
Farmoor,water,67.0,3,2020.0,67,13822.0
London Storages,water,67.0,3,2020.0,67,202828.0
Farmoor,water,68.0,3,2020.0,68,13822.0
London Storages,water,68.0,3,2020.0,68,202828.0
Farmoor,water,69.0,3,2020.0,69,13822.0
London Storages,water,69.0,3,2020.0,69,202828.0
Farmoor,water,70.0,3,2020.0,70,13822.0
London Storages,water,70.0,3,2020.0,70,202828.0
Farmoor,water,71.0,3,2020.0,71,13822.0
London Storages,water,71.0,3,2020.0,71,202828.0
Farmoor,water,72.0,3,2020.0,72,13822.0
London Storages,water,72.0,3,2020.0,72,202828.0
Farmoor,water,73.0,3,2020.0,73,13822.0
London Storages,water,73.0,3,2020.0,73,202828.0
Farmoor,water,74.0,3,2020.0,74,13822.0
London Storages,water,74.0,3,2020.0,74,202828.0
Farmoor,water,75.0,3,2020.0,75,13822.0
London Storages,water,75.0,3,2020.0,75,202828.0
Farmoor,water,76.0,3,2020.0,76,13822.0
London Storages,water,76.0,3,2020.0,76,202828.0
Farmoor,water,77.0,3,2020.0,77,13822.0
London Storages,water,77.0,3,2020.0,77,202828.0
Farmoor,water,78.0,3,2020.0,78,13822.0
London Storages,water,78.0,3,2020.0,78,202828.0
Farmoor,water,79.0,3,2020.0,79,13822.0
London Storages,water,79.0,3,2020.0,79,202828.0
Farmoor,water,80.0,3,2020.0,80,13822.0
London Storages,water,80.0,3,2020.0,80,202828.0
Farmoor,water,81.0,3,2020.0,81,13822.0
London Storages,water,81.0,3,2020.0,81,202828.0
Farmoor,water,82.0,3,2020.0,82,13822.0
London Storages,water,82.0,3,2020.0,82,202828.0
Farmoor,water,83.0,3,2020.0,83,13822.0
London Storages,water,83.0,3,2020.0,83,202828.0
Farmoor,water,84.0,3,2020.0,84,13822.0
London Storages,water,84.0,3,2020.0,84,202828.0
Farmoor,water,85.0,3,2020.0,85,13822.0
London Storages,water,85.0,3,2020.0,85,202828.0
Farmoor,water,86.0,3,2020.0,86,13822.0
London Storages,water,86.0,3,2020.0,86,202828.0
Farmoor,water,87.0,3,2020.0,87,13822.0
London Storages,water,87.0,3,2020.0,87,202828.0
Farmoor,water,88.0,3,2020.0,88,13822.0
London Storages,water,88.0,3,2020.0,88,202828.0
Farmoor,water,89.0,3,2020.0,89,13822.0
London Storages,water,89.0,3,2020.0,89,202828.0
Farmoor,water,90.0,3,2020.0,90,13822.0
London Storages,water,90.0,3,2020.0,90,202828.0
Farmoor,water,91.0,3,2020.0,91,13822.0
London Storages,water,91.0,3,2020.0,91,202828.0
Farmoor,water,92.0,4,2020.0,92,13822.0
London Storages,water,92.0,4,2020.0,92,202828.0
Farmoor,water,93.0,4,2020.0,93,13822.0
London Storages,water,93.0,4,2020.0,93,202828.0
Farmoor,water,94.0,4,2020.0,94,13822.0
London Storages,water,94.0,4,2020.0,94,202828.0
Farmoor,water,95.0,4,2020.0,95,13822.0
London Storages,water,95.0,4,2020.0,95,202828.0
Farmoor,water,96.0,4,2020.0,96,13822.0
London Storages,water,96.0,4,2020.0,96,202828.0
Farmoor,water,97.0,4,2020.0,97,13822.0
London Storages,water,97.0,4,2020.0,97,202828.0
Farmoor,water,98.0,4,2020.0,98,13822.0
London Storages,water,98.0,4,2020.0,98,202828.0
Farmoor,water,99.0,4,2020.0,99,13822.0
London Storages,water,99.0,4,2020.0,99,202828.0
Farmoor,water,100.0,4,2020.0,100,13822.0
